# Oxford A1-B1 concepts with no matching EN gloss in rupl-exp vocab packs.
# These are the concepts to realise in Polish. Cross-check each against Polish
# frequency before authoring - concept frequency differs between languages.
# band\tword\tpos
a1	apple	noun
a1	baby	noun
a1	banana	noun
a1	bath	noun
a1	beautiful	adjective
a1	believe	verb
a1	boat	noun
a1	born	verb
a1	boyfriend	noun
a1	bye	exclamation
a1	cafe	noun
a1	carrot	noun
a1	cd	noun
a1	chart	noun/verb
a1	chocolate	noun
a1	cinema	noun
a1	climb	noun/verb
a1	club	noun
a1	cream	adjective/noun
a1	dear	adjective/exclamation
a1	dialogue	noun
a1	die	verb
a1	diet	noun
a1	dirty	adjective
a1	discuss	verb
a1	downstairs	adjective/adverb
a1	dvd	noun
a1	east	adjective/adverb/noun
a1	everybody	pronoun
a1	exciting	adjective
a1	famous	adjective
a1	find	verb
a1	fly	noun/verb
a1	forget	verb
a1	friendly	adjective
a1	garden	noun
a1	girlfriend	noun
a1	grandparent	noun
a1	grow	verb
a1	hate	noun/verb
a1	have to	modal verb
a1	hey	exclamation
a1	hope	noun/verb
a1	ice	noun
a1	ice cream	noun
a1	imagine	verb
a1	improve	verb
a1	kilometre	noun
a1	laugh	noun/verb
a1	library	noun
a1	lie	noun/verb
a1	married	adjective
a1	metre	noun
a1	museum	noun
a1	neighbour	noun
a1	next to	preposition
a1	no one	pronoun
a1	north	adjective/adverb/noun
a1	o'clock	adverb
a1	oh	exclamation
a1	ok	adjective/adverb/exclamation
a1	onion	noun
a1	painting	noun
a1	parent	noun
a1	pepper	noun
a1	piano	noun
a1	plane	noun
a1	potato	noun
a1	practise	verb
a1	prefer	verb
a1	prepare	verb
a1	quickly	adverb
a1	sandwich	noun
a1	shower	noun
a1	south	adjective/adverb/noun
a1	spell	noun/verb
a1	t-shirt	noun
a1	teenager	noun
a1	terrible	adjective
a1	theatre	noun
a1	toilet	noun
a1	tomato	noun
a1	understand	verb
a1	upstairs	adjective/adverb
a1	vacation	noun
a1	vegetable	noun
a1	west	adjective/adverb/noun
a1	yeah	exclamation
a2	ability	noun
a2	abroad	adverb
a2	accept	verb
a2	according to	preposition
a2	achieve	verb
a2	adventure	noun
a2	advertise	verb
a2	advertisement	noun
a2	advertising	noun
a2	ah	exclamation
a2	airline	noun
a2	all right	adjective/adverb/exclamation
a2	allow	verb
a2	ancient	adjective
a2	ankle	noun
a2	any more	adverb
