# Untaught Polish lemmas inside the top 1,000 by corpus frequency.
# Cross-check for the Oxford route: any word here that the translated
# Oxford inventory does not produce is a Polish-specific gap.
# Source is OpenSubtitles - expect conversational skew and some junk.
# rank\tlemma
46	dla
63	taki
68	sam
70	by
73	zostać
81	swój
82	ktoś
87	no
92	prawda
95	jakiś
96	wszystek
98	naprawdę
102	inny
104	znaleźć
107	tym
112	nasz
114	gdy
117	potrzebować
119	nawet
121	wyglądać
129	sprawa
135	każdy
138	hej
140	wrócić
143	zabić
145	jaki
146	rozumieć
153	wziąć
157	żaden
158	przed
161	dostać
162	wszyscy
169	chwila
171	wiele
172	pozwolić
173	zacząć
175	dziewczyna
179	pamiętać
180	przy
183	przestać
186	próbować
188	zabrać
189	kilka
191	zostawić
192	niech
195	trzymać
196	cóż
197	swoje
198	u
201	skończyć
204	dlatego
206	pewnie
214	facet
217	aby
223	sądzić
225	cholera
234	wierzyć
235	spojrzeć
237	stąd
240	bez
243	zadzwonić
244	skąd
246	pomoc
249	śmierć
250	beza
254	trocha
256	trochę
257	witać
258	porozmawiać
261	poznać
263	zmienić
268	prawdziwy
270	dowiedzieć
272	martwić
273	zanim
275	chłopak
278	sprawdzić
279	zbyt
280	wasz
289	świetnie
291	spokój
292	razem
293	nadal
294	pokazać
295	posłuchać
297	ani
299	si
300	nasze
302	ponieważ
303	policja
307	imię
309	kurwa
311	pomyśleć
313	stracić
314	dziać
315	chłopiec
316	zrozumieć
318	zapomnieć
319	kiedyś
320	wciąż
321	aż
324	spróbować
327	dalej
328	szansa
330	długi
331	dokładnie
333	znowu
339	zatrzymać
340	wybaczyć
347	oh
350	umrzeć
351	okay
352	miłość
360	jedno
362	potrafić
364	środek
366	dzięk
367	dzięka
368	dzięki
369	stan
370	kolejny
371	uwierzyć
372	około
374	bym
376	doktor
378	poza
379	źle
384	siedzieć
385	długo
386	och
388	sir
391	jakby
393	wysłać
394	bać
395	odejść
397	ruszać
399	gdzieś
402	patrzeć
403	bronić
406	poczekać
407	własny
409	przynieść
411	jednak
413	dość
414	jako
415	przecież
416	wystarczyć
421	patrzyć
423	uwaga
424	walczyć
425	dzieje
426	c
430	nadzieja
431	złapać
433	piękny
434	dzieciak
435	oddać
436	jeżeli
437	udać
438	ego
439	wygrać
440	powrót
442	zginąć
443	uciec
444	tył
445	należeć
446	brzmieć
450	jasne
451	właściwie
454	wojna
457	zaczekać
458	przykry
459	nauczyć
460	ofiara
462	również
464	cokolwiek
468	lecieć
469	następny
474	byś
476	wybrać
477	inaczej
479	dowód
483	oba
485	wypadek
487	poważnie
488	używać
490	sekunda
494	przykro
495	podczas
497	spokojnie
499	ciężki
500	pieprzyć
511	panna
513	wpaść
516	uciekać
518	niezły
520	the
521	przygotować
523	broń
524	bawić
526	kazać
528	przyjąć
529	zaraza
532	założyć
533	jedyny
537	stanąć
539	nazwisko
540	oto
541	dopóki
543	pogadać
544	nadziać
545	starać
546	martwy
547	diabeł
548	zniszczyć
553	gadać
554	oznaczać
555	znajść
556	znów
557	przynajmniej
560	uratować
561	ogół
563	zaraz
564	wchodzić
567	kłopot
569	kochanie
572	robota
573	rzucić
574	dokąd
577	żartować
578	całkiem
579	zasada
580	istnieć
584	liczyć
587	odebrać
588	opuścić
590	cieszyć
591	użyć
592	głos
593	obchodzić
595	także
597	jack
598	statek
601	twoi
603	dopiero
604	interes
605	sąd
606	zniknąć
609	skarb
611	przeciwko
612	koleś
615	tamten
617	dama
618	tyle
619	agent
621	bezpieczny
622	zauważyć
623	poradzić
625	król
626	wspólny
627	wcale
628	pański
629	okazja
630	niektóry
632	walka
635	czyli
638	moc
642	zabicie
643	morderstwo
644	sens
646	tom
649	przypadek
652	zdecydować
654	udawać
655	zabijać
656	pasować
658	powstrzymać
660	zastanawiać
661	samo
663	nieźle
666	trafić
